name,csv_id,compound_id,protein_a_name,protein_b_name,total_aa,n_protein_a_chains,n_protein_b_chains,total_chains,mg_asym_id,moa_type,af3_ranking_score,af3_mg_chain_iptm
mgtbind_702,702,536,QDPR,FKBP12,352,1,1,3,2,heterodimerization-nondegradative,0.73674579,0.82
mgtbind_792,792,637,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.726161961,0.78
mgtbind_793,793,637,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.752847464,0.8
mgtbind_794,794,638,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.757688152,0.81
mgtbind_795,795,638,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.693204766,0.76
mgtbind_796,796,639,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.747733983,0.77
mgtbind_798,798,641,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.805232425,0.83
mgtbind_2595,2595,2528,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.632865309,0.71
mgtbind_2596,2596,2529,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.614601651,0.67
mgtbind_2597,2597,2530,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.640982584,0.69
mgtbind_2598,2598,2531,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.628544761,0.66
mgtbind_2599,2599,2532,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.667357874,0.72
mgtbind_2600,2600,2533,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.646731841,0.72
mgtbind_2601,2601,2534,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.58658392,0.64
mgtbind_2602,2602,2535,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.555434822,0.61
mgtbind_2603,2603,2536,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.597928592,0.65
mgtbind_2604,2604,2537,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.631901579,0.68
mgtbind_2605,2605,2538,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.621041143,0.67
mgtbind_2606,2606,2539,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.655015649,0.7
mgtbind_2607,2607,2540,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.625346643,0.68
