target_id,num_prot_tokens,num_lig_atoms,num_resolved_tokens,num_tokens,num_design,UNK_fraction,GLY_fraction,ALA_fraction,CYS_fraction,SER_fraction,PRO_fraction,THR_fraction,VAL_fraction,ILE_fraction,ASN_fraction,ASP_fraction,LEU_fraction,MET_fraction,GLN_fraction,GLU_fraction,LYS_fraction,HIS_fraction,PHE_fraction,ARG_fraction,TYR_fraction,TRP_fraction,loop,helix,sheet,liability_score,liability_num_violations,liability_high_severity_violations,liability_medium_severity_violations,liability_low_severity_violations,liability_ProtTryp_count,liability_UnpairedCys_count,liability_TrpOx_count,liability_TrpOx_position,liability_TrpOx_length,liability_TrpOx_severity,liability_TrpOx_num_positions,liability_TrpOx_avg_severity,liability_ProtTryp_position,liability_ProtTryp_length,liability_ProtTryp_severity,liability_ProtTryp_num_positions,liability_ProtTryp_avg_severity,liability_HydroPatch_count,liability_HydroPatch_position,liability_HydroPatch_length,liability_HydroPatch_severity,liability_HydroPatch_num_positions,liability_HydroPatch_avg_severity,liability_DPP4_count,liability_DPP4_position,liability_DPP4_length,liability_DPP4_severity,liability_DPP4_num_positions,liability_DPP4_avg_severity,liability_AspCleave_count,liability_AspCleave_position,liability_AspCleave_length,liability_AspCleave_severity,liability_AspCleave_num_positions,liability_AspCleave_avg_severity,liability_AspBridge_count,liability_AspBridge_position,liability_AspBridge_length,liability_AspBridge_severity,liability_AspBridge_num_positions,liability_AspBridge_avg_severity,liability_MetOx_count,liability_MetOx_position,liability_MetOx_length,liability_MetOx_severity,liability_MetOx_num_positions,liability_MetOx_avg_severity,liability_NTCycl_count,liability_NTCycl_position,liability_NTCycl_length,liability_NTCycl_severity,liability_NTCycl_num_positions,liability_NTCycl_avg_severity,liability_UnpairedCys_position,liability_UnpairedCys_length,liability_UnpairedCys_severity,native_rmsd,native_rmsd_bb,native_rmsd_refolded,native_rmsd_bb_refolded,designfolding-bb_rmsd,designfolding-bb_rmsd_design,designfolding-bb_rmsd_target,designfolding-bb_rmsd_design_target,designfolding-bb_target_aligned_rmsd_design,designfolding-bb_rmsd<2.5,designfolding-bb_target_aligned<2.5,designfolding-bb_designability_rmsd_2,designfolding-bb_designability_rmsd_4,designfolding-ligand_iptm,designfolding-interaction_pae,designfolding-min_interaction_pae,designfolding-min_design_to_target_pae,designfolding-iptm,designfolding-ptm,designfolding-protein_iptm,designfolding-design_iptm,designfolding-design_iiptm,designfolding-design_to_target_iptm,designfolding-design_residue_iptm,designfolding-target_ptm,designfolding-design_ptm,designfolding-design_ipsae_min,designfolding-design_to_target_ipsae,designfolding-target_to_design_ipsae,designfolding-complex_plddt,designfolding-complex_iplddt,designfolding-complex_pde,designfolding-complex_ipde,designfolding-min_interaction_pae<1.5,designfolding-min_interaction_pae<2,designfolding-min_interaction_pae<2.5,designfolding-min_interaction_pae<3,designfolding-min_interaction_pae<4,designfolding-min_interaction_pae<5,designfolding-design_ptm>80,designfolding-design_ptm>75,designfolding-design_iptm>80,designfolding-design_iptm>70,designfolding-design_iptm>60,designfolding-design_iptm>50,bb_rmsd,bb_rmsd_design,bb_rmsd_target,bb_rmsd_design_target,bb_target_aligned_rmsd_design,bb_rmsd<2.5,bb_target_aligned<2.5,bb_designability_rmsd_2,bb_designability_rmsd_4,ligand_iptm,interaction_pae,min_interaction_pae,min_design_to_target_pae,iptm,ptm,protein_iptm,design_iptm,design_iiptm,design_to_target_iptm,design_residue_iptm,target_ptm,design_ptm,design_ipsae_min,design_to_target_ipsae,target_to_design_ipsae,complex_plddt,complex_iplddt,complex_pde,complex_ipde,min_interaction_pae<1.5,min_interaction_pae<2,min_interaction_pae<2.5,min_interaction_pae<3,min_interaction_pae<4,min_interaction_pae<5,design_ptm>80,design_ptm>75,design_iptm>80,design_iptm>70,design_iptm>60,design_iptm>50,design_largest_hydrophobic_patch_refolded,design_chain_hydrophobicity,design_hydrophobicity,delta_sasa_refolded,design_sasa_unbound_refolded,design_sasa_bound_refolded,plip_hbonds_refolded,plip_saltbridge_refolded
binder,221.0,0.0,206.0,221.0,89.0,0.0,0.1573,0.70787,0.01124,0.0,0.01124,0.0,0.0,0.0,0.0,0.0,0.02247,0.0,0.0,0.02247,0.02247,0.0,0.0,0.03371,0.01124,0.0,0.07865,0.92135,0.0,60.0,6.0,6.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,5.0,10.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,49.0,1.0,10.0,0.0,0.0,0.0,0.0,2.57701,2.57701,,,,0.0,0.0,0.0,1.0,0.0,0.0,100000.25,100000.25,0.0,0.36934,0.0,0.0,0.0,0.0,0.0,0.0,0.36934,0.0,0.0,0.0,0.6725,0.6725,1.79251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.83191,0.79601,0.70347,3.23624,6.10317,0.0,0.0,1.0,1.0,0.0,21.8936,13.83296,13.83296,0.18976,0.48125,0.18976,0.18976,0.2126,0.18976,0.18976,0.70265,0.76274,0.0,0.0,0.00492,0.68052,0.65759,1.4138,8.84657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2225.49219,25.9594,25.9594,587.17725,6545.61133,5958.43408,2.0,2.0
binder,227.0,0.0,212.0,227.0,95.0,0.0,0.07368,0.15789,0.0,0.03158,0.04211,0.04211,0.11579,0.04211,0.03158,0.04211,0.06316,0.0,0.02105,0.14737,0.08421,0.01053,0.05263,0.03158,0.01053,0.0,0.29474,0.32632,0.37895,155.0,17.0,14.0,3.0,0.0,0.0,,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,11.0,10.0,0.0,-1.0,0.0,0.0,2.0,5.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,-1.0,0.0,0.0,2.0,10.0,0.0,13.0,2.0,10.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,1.38767,1.38767,,,,1.0,0.0,1.0,1.0,0.0,0.0,100000.25,100000.25,0.0,0.77713,0.0,0.0,0.0,0.0,0.0,0.0,0.77713,0.0,0.0,0.0,0.64229,0.64229,0.63074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.73169,3.27047,0.54855,3.72033,5.05796,0.0,0.0,0.0,1.0,0.0,19.85704,13.04237,13.04237,0.22308,0.50983,0.22308,0.22308,0.22875,0.22308,0.22308,0.73277,0.80348,0.0046,0.0046,0.00492,0.76476,0.73176,1.29287,8.74935,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,998.78101,46.8108,46.8108,1014.25684,6410.36426,5396.10742,6.0,3.0
binder,227.0,0.0,212.0,227.0,95.0,0.0,0.02105,0.16842,0.0,0.01053,0.01053,0.0,0.06316,0.03158,0.01053,0.02105,0.16842,0.01053,0.01053,0.22105,0.2,0.02105,0.0,0.0,0.03158,0.0,0.10526,0.89474,0.0,195.0,20.0,19.0,1.0,0.0,0.0,,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,19.0,10.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,46.0,1.0,5.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.46215,0.46215,,,,1.0,0.0,1.0,1.0,0.0,0.0,100000.25,100000.25,0.0,0.80701,0.0,0.0,0.0,0.0,0.0,0.0,0.80701,0.0,0.0,0.0,0.73598,0.73598,0.47575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,12.46242,0.50328,0.5398,16.84309,24.78198,0.0,0.0,1.0,1.0,0.0,22.34431,16.45364,16.45364,0.1768,0.48961,0.1768,0.1768,0.18909,0.1768,0.1768,0.73878,0.82727,0.0,0.0,0.0,0.78625,0.75636,1.02761,9.51697,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,297.5307,47.4507,47.4507,657.27441,6491.69531,5834.4209,4.0,1.0
binder,222.0,0.0,207.0,222.0,90.0,0.0,0.04444,0.27778,0.0,0.01111,0.02222,0.05556,0.07778,0.03333,0.01111,0.08889,0.07778,0.0,0.0,0.13333,0.05556,0.0,0.04444,0.06667,0.0,0.0,0.24444,0.75556,0.0,120.0,12.0,12.0,0.0,0.0,0.0,,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,11.0,10.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,69.0,2.0,10.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.52296,0.52296,,,,1.0,0.0,1.0,1.0,0.0,0.0,100000.25,100000.25,0.0,0.81161,0.0,0.0,0.0,0.0,0.0,0.0,0.81161,0.0,0.0,0.0,0.66726,0.66726,0.58262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,11.70895,0.74079,0.48907,17.4333,19.04589,0.0,0.0,1.0,1.0,0.0,21.23467,15.11273,15.11273,0.19117,0.51313,0.19117,0.19117,0.19281,0.19117,0.19117,0.74787,0.81203,0.0,0.0,0.0,0.77386,0.76643,1.0953,8.41144,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,927.18781,44.6033,44.6033,666.73584,6406.7666,5740.03076,2.0,2.0
